2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:11:56,476 - Epoch [1/2], Step [47/600], Loss: 0.1862, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:56,502 - Epoch [1/2], Step [48/600], Loss: 0.2189, RAM Usage: 61.90%, CPU Usage: 2.30%
2024-03-14 20:11:56,526 - Epoch [1/2], Step [49/600], Loss: 0.2341, RAM Usage: 61.90%, CPU Usage: 1.90%
2024-03-14 20:11:56,566 - Epoch [1/2], Step [50/600], Loss: 0.2028, RAM Usage: 61.90%, CPU Usage: 2.60%
2024-03-14 20:11:56,595 - Epoch [1/2], Step [51/600], Loss: 0.3133, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,625 - Epoch [1/2], Step [52/600], Loss: 0.2749, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,655 - Epoch [1/2], Step [53/600], Loss: 0.2651, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,682 - Epoch [1/2], Step [54/600], Loss: 0.2623, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:56,707 - Epoch [1/2], Step [55/600], Loss: 0.2792, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:56,735 - Epoch [1/2], Step [56/600], Loss: 0.1289, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:56,760 - Epoch [1/2], Step [57/600], Loss: 0.2452, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:56,788 - Epoch [1/2], Step [58/600], Loss: 0.1494, RAM Usage: 61.90%, CPU Usage: 12.50%
2024-03-14 20:11:56,817 - Epoch [1/2], Step [59/600], Loss: 0.1788, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:56,846 - Epoch [1/2], Step [60/600], Loss: 0.2678, RAM Usage: 61.90%, CPU Usage: 2.70%
2024-03-14 20:11:56,871 - Epoch [1/2], Step [61/600], Loss: 0.1783, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,902 - Epoch [1/2], Step [62/600], Loss: 0.1460, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,926 - Epoch [1/2], Step [63/600], Loss: 0.1383, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,956 - Epoch [1/2], Step [64/600], Loss: 0.0815, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:56,982 - Epoch [1/2], Step [65/600], Loss: 0.1907, RAM Usage: 61.90%, CPU Usage: 3.00%
2024-03-14 20:11:57,007 - Epoch [1/2], Step [66/600], Loss: 0.2256, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,037 - Epoch [1/2], Step [67/600], Loss: 0.3112, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,067 - Epoch [1/2], Step [68/600], Loss: 0.3381, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:57,096 - Epoch [1/2], Step [69/600], Loss: 0.2041, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,119 - Epoch [1/2], Step [70/600], Loss: 0.1106, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,146 - Epoch [1/2], Step [71/600], Loss: 0.1272, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,175 - Epoch [1/2], Step [72/600], Loss: 0.2048, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,202 - Epoch [1/2], Step [73/600], Loss: 0.1012, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,229 - Epoch [1/2], Step [74/600], Loss: 0.2506, RAM Usage: 61.90%, CPU Usage: 1.60%
